,state,sat_part_17,sat_ebrw_17,sat_math_17,sat_total_17,sat_part_18,sat_ebrw_18,sat_math_18,sat_total_18,sat_part_19,sat_ebrw_19,sat_math_19,sat_total_19,act_part_17,act_eng_17,act_math_17,act_reading_17,act_science_17,act_composite_17,act_part_18,act_composite_18,act_part_19,act_composite_19,state_rank,hh_income_17,hh_income_18,hh_income_19,percapita_income,state_pop,no_of_households,pct_highschool,pct_bachelors,pct_adv_degree,pop_highschool,pop_bachelors,pop_adv_degree,statespending_perpupil,is_act_free,is_sat_free,is_act_required,is_sat_required
32,Ohio,0.12,578,570,1149,0.18,552,547,1099,0.19,550,548,1097,0.75,21.2,21.6,22.5,22.0,22.0,1.0,20.3,1.0,20.0,36,54021,56111,58642,32780,11799448,4730340,0.908,0.2928,0.1108,7308958,2356585,891640,12811,False,True,False,False
33,Alabama,0.05,593,572,1165,0.06,595,571,1166,0.07,583,560,1143,1.0,18.9,18.4,19.7,19.4,19.2,1.0,19.1,1.0,18.9,46,48123,49861,51734,28650,5024279,1897576,0.8711,0.2635,0.1004,2926985,885357,337382,9636,True,False,True,False
34,Louisiana,0.04,611,586,1198,0.04,615,595,1210,0.05,610,591,1200,1.0,19.4,18.8,19.8,19.6,19.5,1.0,19.2,1.0,18.8,47,46145,47905,51073,28662,4657757,1741076,0.8596,0.2498,0.0893,2699357,784275,280328,11967,True,False,True,False
35,Montana,0.1,605,591,1196,0.1,606,592,1198,0.09,603,596,1199,1.0,19.0,20.2,21.0,20.5,20.3,1.0,20.0,1.0,19.8,40,53386,55328,57153,32625,1084225,437651,0.9425,0.3358,0.1049,699268,249148,77839,11266,True,False,True,False
36,Arkansas,0.03,614,594,1208,0.05,592,576,1169,0.06,582,559,1141,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.4,1.0,19.3,48,45869,47062,48952,27274,3011524,1163647,0.8748,0.2334,0.0826,1781463,475367,168182,9976,True,False,False,False
37,Colorado,0.11,606,595,1201,1.0,519,506,1025,1.0,518,506,1024,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.27,23.8,9,69117,71953,77127,41053,5773714,2235103,0.924,0.4266,0.1604,3672723,1695602,637777,10171,False,False,False,True
38,SouthDakota,0.03,612,603,1216,0.03,622,618,1240,0.03,633,635,1268,0.8,20.7,21.5,22.3,22.0,21.8,0.77,21.9,0.75,21.6,33,56521,56274,59533,31550,886667,353799,0.9213,0.2972,0.0911,541735,174784,53553,9913,False,False,False,False
39,Tennessee,0.05,623,604,1228,0.06,624,607,1231,0.07,618,602,1220,1.0,19.5,19.2,20.1,19.9,19.8,1.0,19.6,1.0,19.4,42,51340,52375,56071,31224,6910840,2654737,0.8801,0.2872,0.1072,4131145,1348224,503124,8324,False,True,False,False
40,Wyoming,0.03,626,604,1230,0.03,633,625,1257,0.03,623,615,1238,1.0,19.4,19.8,20.8,20.6,20.2,1.0,20.0,1.0,19.8,19,60434,61584,65003,34104,576851,233128,0.9455,0.2913,0.1036,368597,113557,40374,19238,True,False,True,False
41,Mississippi,0.02,634,607,1242,0.03,630,606,1236,0.03,628,608,1237,1.0,18.2,18.1,18.8,18.8,18.6,1.0,18.6,1.0,18.4,50,43529,44717,45792,25301,2961279,1100229,0.853,0.2231,0.0864,1688747,441751,171039,8919,True,False,True,False
42,Utah,0.03,624,614,1238,0.04,480,530,1010,0.04,614,615,1230,1.0,19.5,19.9,20.8,20.6,20.3,1.0,20.4,1.0,20.3,11,65358,71414,75780,31771,3271616,1023855,0.9304,0.3477,0.1133,1778532,664661,216552,7954,True,False,True,False
43,Kentucky,0.04,631,616,1247,0.04,630,618,1248,0.04,620,612,1232,1.0,19.6,19.4,20.5,20.1,20.0,1.0,20.2,1.0,19.8,44,48375,50247,52295,29029,4505836,1748732,0.8719,0.2513,0.1026,2657789,765923,312883,10010,True,False,True,False
44,NorthDakota,0.02,635,621,1256,0.02,640,643,1283,0.02,627,636,1263,0.98,19.0,20.4,20.5,20.6,20.3,0.98,20.3,0.96,19.9,20,61843,63837,64577,36611,779094,323519,0.9345,0.3041,0.089,471356,153397,44870,11664,True,False,True,False
45,Nebraska,0.03,629,625,1253,0.03,629,623,1252,0.03,628,631,1260,0.84,20.9,20.9,21.9,21.5,21.4,1.0,20.1,1.0,20.0,25,59970,59566,63229,33272,1961504,771444,0.9204,0.3323,0.1144,1170498,422587,145428,11796,True,False,True,False
46,Kansas,0.04,632,628,1260,0.04,633,631,1265,0.04,618,623,1241,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.6,0.72,21.2,27,56422,58218,62087,32885,2937880,1138329,0.9178,0.3402,0.1239,1760324,652489,237638,11939,True,False,False,False
47,Missouri,0.03,640,631,1271,0.04,633,629,1262,0.04,622,615,1236,1.0,19.8,19.9,20.8,20.5,20.4,1.0,20.0,0.82,20.8,38,53578,54478,57409,31756,6154913,2458337,0.9068,0.3022,0.1178,3814347,1271281,495473,10457,False,False,False,False
48,Iowa,0.02,641,635,1275,0.03,634,631,1265,0.03,622,622,1244,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.8,0.66,21.6,30,58570,59955,61691,33107,3190369,1287221,0.9263,0.2931,0.0952,1966523,622253,202054,11337,False,False,False,False
49,Wisconsin,0.03,642,649,1291,0.03,641,653,1294,0.03,635,648,1283,1.0,19.7,20.4,20.6,20.9,20.5,1.0,20.5,1.0,20.3,21,59305,60773,64168,34568,5893718,2386623,0.9276,0.3134,0.1067,3724423,1258379,428501,12435,True,False,True,False
50,Minnesota,0.03,644,651,1295,0.04,643,655,1298,0.04,636,648,1284,1.0,20.4,21.5,21.8,21.6,21.5,0.99,21.3,0.95,21.4,13,68388,70315,74593,39025,5706494,2222568,0.9361,0.3725,0.1275,3601522,1433226,490396,12664,False,False,False,False
